location,transect,distance,shading,veg_moss,veg_herb,veg_shrub,veg_tree,veg_shading,substr_sand,substr_gravel_fine,substr_gravel_course,substr_silt,substr_detritus_fine,substr_detritus_course,substr_wood,nymph_m2,date_photo_shade,date_nymph
hierd0,1,0,0.8,0,0.43,0.07,0.4,0.79,0.9,0.03,0,0,0.02,0.03,0.02,100,45424,45422
hierd0,1,25,0.98,0.02,0.73,0,0.2,0.88,NA,NA,NA,NA,NA,NA,NA,NA,45424,NA
hierd0,1,50,0.93,0.02,0,0,0.15,0.86,NA,NA,NA,NA,NA,NA,NA,NA,45424,NA
hierd0,1,100,0.95,0,0.43,0.07,0.4,0.79,NA,NA,NA,NA,NA,NA,NA,NA,45424,NA
hierd0,1,150,0.98,0,0.43,0.07,0.4,0.79,NA,NA,NA,NA,NA,NA,NA,NA,45424,NA
hierd0,2,0,0.85,0,0.53,0.02,0.4,0.77,0.85,0.01,0,0,0.04,0.05,0.05,66.67,45424,45422
hierd0,2,25,0.89,0.02,0.4,0,0.2,0.79,NA,NA,NA,NA,NA,NA,NA,NA,45424,NA
hierd0,2,50,0.99,0.01,0,0,0.1,0.88,NA,NA,NA,NA,NA,NA,NA,NA,45424,NA
hierd0,2,100,0.92,0,0.53,0.02,0.4,0.77,NA,NA,NA,NA,NA,NA,NA,NA,45424,NA
hierd0,2,150,0.98,0,0.53,0.02,0.4,0.77,NA,NA,NA,NA,NA,NA,NA,NA,45424,NA
hierd0,3,0,NA,0,0.2,0.35,0.3,0.71,0.85,0.01,0,0,0.09,0.05,0,150,45424,45422
hierd0,3,25,NA,0,0.15,0,0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,45424,NA
hierd0,3,50,NA,0,0.15,0,0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,45424,NA
hierd0,3,100,NA,0,0.2,0.35,0.3,0.71,NA,NA,NA,NA,NA,NA,NA,NA,45424,NA
hierd0,3,150,NA,0,0.15,0,0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,45424,NA
hierd0,4,0,0.82,0,0.3,0.1,0.15,0.72,0.7,0.01,0,0,0.18,0.07,0.04,375,45424,45422
hierd0,4,25,0.96,0,0.08,0,0.15,0.82,NA,NA,NA,NA,NA,NA,NA,NA,45424,NA
hierd0,4,50,0.98,0,0.08,0,0.15,0.82,NA,NA,NA,NA,NA,NA,NA,NA,45424,NA
hierd0,4,100,0.97,0.01,0,0,0.37,0.83,NA,NA,NA,NA,NA,NA,NA,NA,45424,NA
hierd0,4,150,0.96,0,0.08,0,0.15,0.82,NA,NA,NA,NA,NA,NA,NA,NA,45424,NA
hierd0,5,0,0.84,0,0.6,0.05,0.25,0.8,0.81,0.01,0,0,0.09,0.07,0.02,191.67,45424,45422
hierd0,5,25,0.95,0.2,0.02,0,0.2,0.86,NA,NA,NA,NA,NA,NA,NA,NA,45424,NA
hierd0,5,50,0.96,0,0.01,0,0.3,0.89,NA,NA,NA,NA,NA,NA,NA,NA,45424,NA
hierd0,5,100,0.97,0,0.6,0.05,0.25,0.8,NA,NA,NA,NA,NA,NA,NA,NA,45424,NA
hierd0,5,150,0.97,0,0.6,0.05,0.25,0.8,NA,NA,NA,NA,NA,NA,NA,NA,45424,NA
hierd4,1,0,0.88,0.03,0.02,0.01,0.15,0.78,0.65,0,0,0,0.15,0.05,0.15,650,45424,45422
hierd4,1,25,0.86,0.02,0.03,0,0.1,0.67,NA,NA,NA,NA,NA,NA,NA,NA,45424,NA
hierd4,1,50,0.84,0.02,0.03,0,0.1,0.67,NA,NA,NA,NA,NA,NA,NA,NA,45424,NA
hierd4,1,100,0.79,0.03,0.02,0.01,0.15,0.78,NA,NA,NA,NA,NA,NA,NA,NA,45424,NA
hierd4,1,150,0.77,0.02,0.03,0,0.1,0.67,NA,NA,NA,NA,NA,NA,NA,NA,45424,NA
hierd4,2,0,0.89,0.03,0.08,0,0.3,0.81,0.68,0.02,0,0,0.1,0.05,0.15,691.67,45424,45422
hierd4,2,25,0.9,0.02,0,0,0.3,0.79,NA,NA,NA,NA,NA,NA,NA,NA,45424,NA
hierd4,2,50,0.92,0.02,0,0,0.3,0.79,NA,NA,NA,NA,NA,NA,NA,NA,45424,NA
hierd4,2,100,0.87,0.01,0,0,0.15,0.75,NA,NA,NA,NA,NA,NA,NA,NA,45424,NA
hierd4,2,150,0.84,0.02,0,0,0.3,0.79,NA,NA,NA,NA,NA,NA,NA,NA,45424,NA
hierd4,3,0,0.91,0.01,0.04,0,0.1,0.82,0.54,0,0,0,0.08,0.08,0.3,291.67,45434,45422
hierd4,3,25,0.91,0.03,0,0,0.15,0.77,NA,NA,NA,NA,NA,NA,NA,NA,45434,NA
hierd4,3,50,0.93,0.02,0,0,0.2,0.81,NA,NA,NA,NA,NA,NA,NA,NA,45434,NA
hierd4,3,100,0.81,0.01,0.04,0,0.1,0.82,NA,NA,NA,NA,NA,NA,NA,NA,45434,NA
hierd4,3,150,0.61,0.01,0.04,0,0.1,0.82,NA,NA,NA,NA,NA,NA,NA,NA,45434,NA
hierd4,4,0,0.9,0.01,0.01,0,0.3,0.83,0.7,0,0,0,0.1,0.03,0.17,58.33,45424,45422
hierd4,4,25,0.89,0.01,0,0,0.6,0.85,NA,NA,NA,NA,NA,NA,NA,NA,45424,NA
hierd4,4,50,0.96,0.06,0.01,0,0.2,0.51,NA,NA,NA,NA,NA,NA,NA,NA,45424,NA
hierd4,4,100,0.91,0.01,0.01,0,0.3,0.83,NA,NA,NA,NA,NA,NA,NA,NA,45424,NA
hierd4,4,150,0.51,0.01,0.01,0,0.3,0.83,NA,NA,NA,NA,NA,NA,NA,NA,45424,NA
hierd4,5,0,0.78,0.01,0.01,0,0.15,0.74,0.58,0.07,0.05,0,0.05,0.05,0.2,125,45424,45422
hierd4,5,25,0.93,0.6,0.08,0,0.15,0.76,NA,NA,NA,NA,NA,NA,NA,NA,45424,NA
hierd4,5,50,0.95,0.6,0.08,0,0.15,0.76,NA,NA,NA,NA,NA,NA,NA,NA,45424,NA
hierd4,5,100,0.91,0.01,0.01,0,0.15,0.74,NA,NA,NA,NA,NA,NA,NA,NA,45424,NA
hierd4,5,150,0.83,0.6,0.08,0,0.15,0.76,NA,NA,NA,NA,NA,NA,NA,NA,45424,NA
