Name,trajectnaam nieuw 2024,trajectnaam 2023,raai,afstand,RD X,RD Y,Gebruik,Opmerking
"Hierd3, 1, 0",Hierd3,Hierd2,1,0,176990,481158,Droog bos en open,2023 gedaan onder andere naam
"Hierd3, 1, 25",Hierd3,Hierd2,1,25,177005,481176,Droog bos en open,2023 gedaan onder andere naam
"Hierd3, 1, 50",Hierd3,Hierd2,1,50,177020,481196,Droog bos en open,2023 gedaan onder andere naam
"Hierd3, 1, 100",Hierd3,Hierd2,1,100,177052,481235,Droog bos en open,2023 gedaan onder andere naam
"Hierd3, 1, 150",Hierd3,Hierd2,1,150,177083,481273,Droog bos en open,2023 gedaan onder andere naam
"Hierd3, 2, 0",Hierd3,Hierd2,2,0,176949,481181,Droog bos en open,2023 gedaan onder andere naam
"Hierd3, 2, 25",Hierd3,Hierd2,2,25,176962,481203,Droog bos en open,2023 gedaan onder andere naam
"Hierd3, 2, 50",Hierd3,Hierd2,2,50,176977.79,481224.67,Droog bos en open,2023 gedaan onder andere naam
"Hierd3, 2, 100",Hierd3,Hierd2,2,100,177009.21,481263.33,Droog bos en open,2023 gedaan onder andere naam
"Hierd3, 2, 150",Hierd3,Hierd2,2,150,177037,481305,Droog bos en open,2023 gedaan onder andere naam
"Hierd3, 3, 0",Hierd3,Hierd2,3,0,176931,481244,Droog bos en open,2023 gedaan onder andere naam
"Hierd3, 3, 25",Hierd3,Hierd2,3,25,176947,481263,Droog bos en open,2023 gedaan onder andere naam
"Hierd3, 3, 50",Hierd3,Hierd2,3,50,176962,481283,Droog bos en open,2023 gedaan onder andere naam
"Hierd3, 3, 100",Hierd3,Hierd2,3,100,176994,481322,Droog bos en open,2023 gedaan onder andere naam
"Hierd3, 3, 150",Hierd3,Hierd2,3,150,177025,481361,Droog bos en open,2023 gedaan onder andere naam
"Hierd3, 4, 0",Hierd3,Hierd2,4,0,176872,481251,Droog bos en open,2023 gedaan onder andere naam
