Datum	Waterstand	Temperatuur water	Temperatuur intern
2022-10-13 15:00:00	7.48	24.26	25.57
2022-10-13 16:00:00	7.46	24.33	24.19
2022-10-13 17:00:00	7.7	24.46	24.23
2022-10-13 18:00:00	7.66	24.23	23.89
2022-10-13 19:00:00	7.68	23.99	23.69
2022-10-13 20:00:00	7.69	23.82	23.52
2022-10-13 21:00:00	7.7	23.69	23.38
2022-10-13 22:00:00	7.64	23.55	23.25
2022-10-13 23:00:00	7.65	23.49	23.15
2022-10-14 00:00:00	7.66	23.42	23.08
2022-10-14 01:00:00	7.67	23.28	22.98
2022-10-14 02:00:00	7.68	23.25	22.91
2022-10-14 03:00:00	7.68	23.18	22.88
2022-10-14 04:00:00	7.69	23.12	22.81
2022-10-14 05:00:00	7.69	23.08	22.78
2022-10-14 06:00:00	7.69	23.05	22.74
2022-10-14 07:00:00	7.69	23.01	22.71
2022-10-14 08:00:00	7.63	22.95	22.74
2022-10-14 09:00:00	7.66	22.68	22.34
2022-10-14 10:00:00	7.62	22.85	22.58
2022-10-14 11:00:00	7.59	23.05	22.78
2022-10-14 12:00:00	7.58	23.18	22.88
2022-10-14 13:00:00	7.59	23.15	22.85
2022-10-14 14:00:00	7.5	22.34	22.07
2022-10-14 15:00:00	7.48	21.33	21.16
2022-10-14 16:00:00	7.46	20.86	20.76
2022-10-14 17:00:00	7.47	20.45	20.22
2022-10-14 18:00:00	7.42	20.18	19.83
2022-10-14 19:00:00	7.86	19.83	19.58
2022-10-14 20:00:00	7.85	19.13	18.98
2022-10-14 21:00:00	7.92	18.47	18.39
2022-10-14 22:00:00	7.91	17.84	17.8
2022-10-14 23:00:00	8	17.25	17.21
2022-10-15 00:00:00	7.98	16.81	16.73
2022-10-15 01:00:00	7.5	16.7	16.58
2022-10-15 02:00:00	7.54	17.4	17.06
2022-10-15 03:00:00	7.52	17.51	17.18
2022-10-15 04:00:00	7.6	17.47	17.18
2022-10-15 05:00:00	7.5	17.1	16.88
2022-10-15 06:00:00	7.56	16.44	16.25
2022-10-15 07:00:00	7.55	15.74	15.62
2022-10-15 08:00:00	7.6	15.22	15.29
2022-10-15 09:00:00	7.57	14.96	14.75
2022-10-15 10:00:00	7.6	14.75	14.5
2022-10-15 11:00:00	7.62	14.71	14.38
2022-10-15 12:00:00	7.62	14.83	14.5
2022-10-15 13:00:00	7.68	15.03	14.71
2022-10-15 14:00:00	7.67	15.18	14.87
2022-10-15 15:00:00	7.66	15.37	15.07
2022-10-15 16:00:00	7.65	15.55	15.22
2022-10-15 17:00:00	7.63	15.74	15.44
2022-10-15 18:00:00	7.62	15.96	15.62
2022-10-15 19:00:00	7.61	16.03	15.7
2022-10-15 20:00:00	7.62	15.92	15.59
2022-10-15 21:00:00	7.64	15.62	15.33
2022-10-15 22:00:00	7.66	15.33	15.07
2022-10-15 23:00:00	7.69	15.14	14.87
2022-10-16 00:00:00	7.7	15	14.67
2022-10-16 01:00:00	7.64	14.87	14.54
2022-10-16 02:00:00	7.66	14.67	14.34
2022-10-16 03:00:00	7.68	14.46	14.17
2022-10-16 04:00:00	7.7	14.34	14
2022-10-16 05:00:00	7.7	14.25	13.92
2022-10-16 06:00:00	7.72	14.13	13.8
2022-10-16 07:00:00	7.73	13.96	13.67
2022-10-16 08:00:00	7.66	13.88	13.67
2022-10-16 09:00:00	7.69	13.71	13.38
2022-10-16 10:00:00	7.7	13.63	13.3
2022-10-16 11:00:00	7.7	13.71	13.34
2022-10-16 12:00:00	7.77	14	13.63
2022-10-16 13:00:00	7.74	14.5	14.13
2022-10-16 14:00:00	7.77	15.03	14.67
2022-10-16 15:00:00	7.73	15.48	15.14
2022-10-16 16:00:00	7.69	15.88	15.51
2022-10-16 17:00:00	7.73	16.18	15.85
2022-10-16 18:00:00	7.71	16.36	16.07
2022-10-16 19:00:00	7.69	16.51	16.18
2022-10-16 20:00:00	7.69	16.44	16.14
2022-10-16 21:00:00	7.7	16.29	16.03
2022-10-16 22:00:00	7.71	16.14	15.85
2022-10-16 23:00:00	7.65	15.92	15.66
2022-10-17 00:00:00	7.68	15.74	15.48
2022-10-17 01:00:00	7.68	15.59	15.33
2022-10-17 02:00:00	7.69	15.51	15.22
2022-10-17 03:00:00	7.7	15.4	15.14
2022-10-17 04:00:00	7.72	15.33	15.03
2022-10-17 05:00:00	7.71	15.48	15.14
2022-10-17 06:00:00	7.69	15.7	15.33
2022-10-17 07:00:00	7.69	15.85	15.51
2022-10-17 08:00:00	7.65	16.03	15.85
2022-10-17 09:00:00	7.64	16.1	15.77
2022-10-17 10:00:00	8.05	16.51	16.29
2022-10-17 11:00:00	8.03	17.47	17.32
2022-10-17 12:00:00	7.96	18.91	18.87
2022-10-17 13:00:00	7.91	20.02	19.91
2022-10-17 14:00:00	7.87	20.59	20.35
2022-10-17 15:00:00	7.85	20.69	20.49
2022-10-17 16:00:00	7.84	20.79	20.59
2022-10-17 17:00:00	7.82	20.86	20.72
2022-10-17 18:00:00	7.81	20.96	20.79
2022-10-17 19:00:00	7.8	20.99	20.82
2022-10-17 20:00:00	7.8	20.99	20.79
2022-10-17 21:00:00	7.8	20.93	20.69
2022-10-17 22:00:00	7.8	20.86	20.62
2022-10-17 23:00:00	7.81	20.79	20.56
2022-10-18 00:00:00	7.82	20.76	20.45
2022-10-18 01:00:00	7.82	20.69	20.42
2022-10-18 02:00:00	7.83	20.62	20.32
2022-10-18 03:00:00	7.84	20.56	20.29
2022-10-18 04:00:00	7.84	20.49	20.22
2022-10-18 05:00:00	7.84	20.45	20.15
2022-10-18 06:00:00	7.84	20.39	20.05
2022-10-18 07:00:00	7.79	20.29	19.98
2022-10-18 08:00:00	7.78	20.25	20.05
2022-10-18 09:00:00	7.8	20.25	19.91
2022-10-18 10:00:00	7.85	20.35	20.08
2022-10-18 11:00:00	7.84	20.45	20.22
2022-10-18 12:00:00	7.82	20.59	20.35
2022-10-18 13:00:00	7.79	20.79	20.59
2022-10-18 14:00:00	7.8	20.79	20.59
2022-10-18 15:00:00	7.8	20.72	20.52
2022-10-18 16:00:00	7.8	20.72	20.56
2022-10-18 17:00:00	7.79	20.82	20.66
2022-10-18 18:00:00	7.78	20.93	20.72
